Sun Dec 14 11:55:10 +0000 2008 => begin transaction
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Library/Appcelerator/lib/templates/COPYING,/Users/adrien/Git/personal/hindsightapp/COPYING
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Library/Appcelerator/lib/templates/README,/Users/adrien/Git/personal/hindsightapp/README
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/javascripts
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/javascripts/./appcelerator-debug.js,/Users/adrien/Git/personal/hindsightapp/public/javascripts/appcelerator-debug.js
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/javascripts
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/javascripts/./appcelerator-lite.js,/Users/adrien/Git/personal/hindsightapp/public/javascripts/appcelerator-lite.js
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/javascripts
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/javascripts/./appcelerator.js,/Users/adrien/Git/personal/hindsightapp/public/javascripts/appcelerator.js
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/swf
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/swf/./amcharts_key.txt,/Users/adrien/Git/personal/hindsightapp/public/swf/amcharts_key.txt
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/swf
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/swf/./amcolumn.swf,/Users/adrien/Git/personal/hindsightapp/public/swf/amcolumn.swf
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/swf
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/swf/./amline.swf,/Users/adrien/Git/personal/hindsightapp/public/swf/amline.swf
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/swf
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/swf/./ampie.swf,/Users/adrien/Git/personal/hindsightapp/public/swf/ampie.swf
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/.
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/..
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/css
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/css/.
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/css/..
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/css/extjs
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/css/extjs/.
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/css/extjs/..
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/css/extjs
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./css/extjs/ext-all.css,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/css/extjs/ext-all.css
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/css/extjs
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./css/extjs/xtheme-gray.css,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/css/extjs/xtheme-gray.css
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/.
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/..
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/appcelerator
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/appcelerator/.
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/appcelerator/..
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/appcelerator
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/appcelerator/blank.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/appcelerator/blank.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/appcelerator
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/appcelerator/iepngfix.htc,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/appcelerator/iepngfix.htc
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/.
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/..
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/.
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/..
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box/.
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box/..
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/box/corners-blue.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box/corners-blue.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/box/corners.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box/corners.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/box/l-blue.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box/l-blue.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/box/l.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box/l.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/box/r-blue.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box/r-blue.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/box/r.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box/r.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/box/tb-blue.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box/tb-blue.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/box/tb.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/box/tb.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/button
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/button/.
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/button/..
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/button
